time,delta_D,curvat_trans,u,ay
224.55000000000018,-0.9499665299079504,-0.0015932897160967666,89.16445537930969,-12.667131394134621
224.60000000000036,-0.9471975542751829,-0.0015936597107255861,89.14378559779176,-12.66419938237798
224.64999999999964,-0.9440920438615747,-0.0015939691067229393,89.12330092714198,-12.660837268281472
224.69999999999982,-0.9406511020401882,-0.0015942175866665203,89.10301151676745,-12.65704607417776
224.75,-0.9368759513612701,-0.001594405103108025,89.0829271196464,-12.652828843544103
224.80000000000018,-0.9327679331178743,-0.0015945315479700315,89.06305723151532,-12.648188052276225
224.85000000000036,-0.9283285068693287,-0.0015945965958939102,89.04341123062252,-12.643124406450886
224.89999999999964,-0.9235592499226382,-0.001594599404019061,89.02399852397397,-12.637634507311937
224.94999999999982,-0.9184618567720864,-0.0015945384053560033,89.00482870414967,-12.631709266653997
225.0,-0.9130381384971911,-0.00159441115959299,88.98591168928647,-12.625332775947376
225.05000000000018,-0.9072900221192205,-0.001594214273916108,88.96725783331127,-12.618481723516119
225.10000000000036,-0.9012195499165623,-0.0015939433975856727,88.94887799717964,-12.611125384943803
225.14999999999964,-0.8948288786990821,-0.001593593285233715,88.9307835766844,-12.603226143822047
225.19999999999982,-0.8881202790418337,-0.0015931579161325485,88.91298648758429,-12.59474044067567
225.25,-0.881096134478335,-0.0015926306507880125,88.89549911366801,-12.58562000311172
225.30000000000018,-0.8737589406536916,-0.0015920044026855361,88.8783342273415,-12.57581318407353
225.35000000000036,-0.866111304437944,-0.0015912718021127688,88.86150489500514,-12.565266229306179
225.39999999999964,-0.858155942999821,-0.0015904253306333938,88.845024380616,-12.553924309071798
225.44999999999982,-0.8498956828413609,-0.0015894577615823188,88.82890598983018,-12.541734944913825
225.5,-0.8413334587936708,-0.0015883614412902298,88.81316294314928,-12.528642292828167
225.55000000000018,-0.8324723129741699,-0.001587128830777957,88.79780856979801,-12.514591467618878
225.60000000000036,-0.8233153937057893,-0.0015857522454521594,88.78285621481099,-12.499526455101158
225.64999999999964,-0.8138659543983386,-0.0015842236158481711,88.76831928849457,-12.48338823414265
225.69999999999982,-0.8041273523926091,-0.001582534285241004,88.75421134351207,-12.46611319986082
225.75,-0.7941030477675275,-0.0015806747851245082,88.74054616815788,-12.44763141901319
