time,mass,P_covariance,Tyf_engine,Tyf_brake,Tyr_brake,theta,vx,ax,ay,steer,flag_new_dataset
1.000000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,7.148711019986890847e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.947699454032954591e+01,2.963650742317636144e-01,-3.587201148283401114e-02,9.335305135646813565e-03,0.000000000000000000e+00
1.100000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,6.935234133970855908e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,1.977792409277341434e+01,2.592651611519485866e-01,-6.803265270716374324e-02,7.074600853337918889e-03,0.000000000000000000e+00
1.200000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,6.606427476226166107e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.003149192562805325e+01,2.317846101715997642e-01,-6.165707474767634366e-02,1.372836054661766975e-03,0.000000000000000000e+00
1.300000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,6.309190289388858730e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.034509140399670102e+01,2.363253221634774859e-01,-6.786811053969685203e-02,3.617052080188247910e-03,0.000000000000000000e+00
1.400000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,6.061155965044896732e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.053204692440637658e+01,2.021279333601080641e-01,-9.967183602094371875e-02,1.379693657453693809e-02,0.000000000000000000e+00
1.500000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.236466416072225627e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.060262883589249938e+01,-2.631674883311587929e-02,-8.700203809450839099e-02,7.269438714950995570e-03,0.000000000000000000e+00
1.600000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.340411458273466749e+01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.053352066109819063e+01,-8.766581400491291198e-02,-1.064208607330775769e-01,1.856805386710256916e-03,0.000000000000000000e+00
1.700000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,8.017792308658026457e+01,0.000000000000000000e+00,-0.000000000000000000e+00,2.042780380251707939e+01,-2.383700219884681282e-01,-3.132013062753780802e-02,9.587698683894699953e-03,0.000000000000000000e+00
1.800000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,3.313660180649491416e-02,7.527994641228224282e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.988029524270570292e+01,-7.114026757507314613e-01,2.465766251322834446e+00,-5.837417373857699543e-01,0.000000000000000000e+00
1.900000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,4.226259224101622247e-01,1.230334716478814471e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.901786222236907875e+01,-9.974471480204535334e-01,-1.365990314033714625e+00,5.679965137678351095e-01,0.000000000000000000e+00
